Ticker,Name,Exchange,categoryName,categoryNr
GDNEF,Golden Eagle Retail Group Ltd.,PNK,None,0
QSC.BE,QSC N,BER,Wireless Communications,840
IZO.SG,JD GROUP,STU,None,0
720203.TWO,YUANTA SECURITIES C/W 02/03/16(,TWO,None,0
NSRPF,Novo Resources Corp.,PNK,None,0
JAK1.BE,JAKARTA INTL HTL DV,BER,None,0
OHR.MU,THORESEN THAI -F-,MUN,None,0
EII.MU,EISAI CO LTD,MUN,Drugs - Generic,512
GFL.NZ,GFNZ Group Limited,NZE,Credit Services,424
NWBOW,"Northwest Biotherapeutics, Inc.",NCM,None,0
AINN.HA,AMERICAN INTL GROUP,HAN,None,0
INC-UN.TO,Income Financial Trust,TOR,Asset Management,422
717217.TWO,YUANTA SECURITIES C/W 03/08/15(,TWO,None,0
HEHSF,Hellenic Exchanges - Athens Stock Exchange S.A. Holding,PNK,None,0
AMZN.MX,"Amazon.com, Inc.",MEX,"Specialty Retail, Other",745
VNT-R.BK,Vinythai Public Company Limited,SET,None,0
MBFIP,MB Financial Inc.,NMS,None,0
SPRP.L,Sprue Aegis PLC,LSE,Security & Protection Services,765
91A.F,ARMSTRONG WORLD IND,FRA,General Building Materials,634
JUVF.OB,None,OBB,None,0
TC1.DE,Tele Columbus AG,GER,None,0
BCYP,"Blue Calypso, Inc.",OBB,Marketing Services,721
FIHO12.MX,DTSCH BK MX FIHO 12,MEX,None,0
R9L.SG,RESOURCE CAPIT REIT,STU,REIT - Diversified,440
QUINTEGRA-BE.NS,QUINTEGRA SOLUTIONS LTD.,NSI,None,0
RSO.MU,ROSS STORES,MUN,Apparel Stores,730
NBG-PA,National Bank of Greece SA Spon,NYQ,None,0
CHSTF,"China High Speed Transmission Equipment Group Co., Ltd.",PNK,None,0
CHSTY,"China High Speed Transmission Equipment Group Co., Ltd.",PNK,None,0
1280.HK,"Huiyin Smart Community Co., Ltd.",HKG,"Specialty Retail, Other",745
VNTV,"Vantiv, Inc.",NYQ,Business Services,760
J0Q.SI,db x-trackers - MSCI Pacific ex Japan Index UCITS ETF (DR),SES,None,0
TOC.MU,THOMSON REUTERS,MUN,Publishing - Newspapers,727
XONA.MU,EXXON MOBIL,MUN,Major Integrated Oil & Gas,120
VNTH,"Nano Mobile Healthcare, Inc.",PNK,Conglomerates,210
VNTI,"Vantone International Group, Inc.",PNK,None,0
NAMN.TA,Naaman Group (N.V.) Ltd,TLV,None,0
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",NGM,"Discount, Variety Stores",732
FLYLF,FLYHT Aerospace Solutions Ltd.,PNK,None,0
XBTCQ,Xhibit Corp.,PNK,None,0
JSWSTEEL6.BO,JSW STEEL LTD,BSE,None,0
RGM.L,Regency Mines Plc,LSE,Industrial Metals & Minerals,133
1JYA.MU,JIAYUAN SPON ADR,MUN,None,0
FJP,First Trust Japan AlphaDEX ETF,NGM,None,0
YAK.V,Mongolia Growth Group Ltd.,VAN,Property Management,448
BRRAF,BARLOWORLD LTD ORD,PNK,None,0
ARTW,Art's-Way Manufacturing Co. Inc.,NCM,Farm & Construction Machinery,620
KTOS,"Kratos Defense & Security Solutions, Inc.",NMS,Security & Protection Services,765
ARTX,Arotech Corporation,NGM,Industrial Electrical Equipment,627
CFSU,Complete Financial Solutions Inc.,PNK,None,0
AQUA.OL,Aqualis ASA,OSL,Oil & Gas Equipment & Services,124
CFSO,COMMUNITY FIRST BANK,OBB,None,0
ARTD,"ARTISTdirect, Inc.",PNK,None,0
ARTH,"Arch Therapeutics, Inc.",OBB,Medical Appliances & Equipment,521
ARTM,"American Nortel Communications, Inc.",PNK,None,0
AA.MX,Alcoa Inc.,MEX,Aluminum,132
EAS.L,Energy Assets Group Plc,LSE,Oil & Gas Equipment & Services,124
